TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Euphausia vallentini,Euphausia,vallentini,221054,,,
Diphyes chamissonis,Diphyes,chamissonis,287246,,,
Oncaea tregoubovi,Oncaea,tregoubovi,354036,0.34,Malt 1982,Omnivore
Abylopsis spp.,Abylopsis,spp.,135352,,,
Cydippida,,,1251,,,
Centropages aucklandicus,Centropages,aucklandicus,104489,1.65,Razouls 2012,Omnivore
Nauplii calanoid (Rhincalanus?),,,1100,0.5,,Herbivore
Magelona spp.,Magelona,spp.,129341,,,
Calocalanus tenuis,Calocalanus,tenuis,237966,1.245,Boltovskoy 1999,Herbivore
Oithona frigida,Oithona,frigida,344712,1.22,Boltovskoy 1999,Herbivore
Alciopid spp.,Alciopid,spp.,932,,,
Gastropod operculum,,,101,,,
Centropages bradyi,Centropages,bradyi,104491,1.9,Boltovskoy 1999,Omnivore
Euchaeta acuta,Euchaeta,acuta,104550,3.6,"Bradford Haakonssen & Jillett 1983",Carnivore
Acartia (Acartiura) clausi,Acartia (Acartiura),clausi,149755,1.035,Razouls 2013,Omnivore
Rhincalanus gigas,Rhincalanus,gigas,220837,7.05,Boltovskoy 1999,Herbivore
Pseudocyclops kulai,Pseudocyclops,kulai,355109,0.825,Razouls 2013,Omnivore
Sapphirina ovatolanceolata / gemma,Sapphirina,ovatolanceolata / gemma,129055,3.07,Razouls 2012,Omnivore
Labidocera bengalensis,Labidocera,bengalensis,346585,1.545,Razouls 2013,Carnivore
Calanoides macrocarinatus,Calanoides,macrocarinatus,345758,3.4,Boltovskoy 1999,Herbivore
Paraeuchaeta biloba,Paraeuchaeta,biloba,344996,5.25,"Based on female size Bradford Haakonssen & Jillett 1983",Carnivore
Candacia bradyi,Candacia,bradyi,346234,1.59,Boltovskoy 1999,Carnivore
Parvocalanus elegans,Parvocalanus,elegans,354636,0.49,Razouls 2013,Herbivore
Sapphirina gastrica,Sapphirina,gastrica,129045,2.44,Razouls 2013,Omnivore
Ridgewayia flemingeri,Ridgewayia,flemingeri,355326,0.665,Razouls 2013,Omnivore
Auricularia spp.,Auricularia,spp.,345834,,,
Kelleria australiensis,Kelleria,australiensis,352459,1.01,Swe Thwin,Carnivore
Kelleria spp.,Kelleria,spp.,205653,0.98,Swe Thwin,Carnivore
Pilidium larvae,,,557238,,,
Pontellina spp.,Pontellina,spp.,104210,1.6,Razouls 2013,Carnivore
Undinula spp.,Undinula,spp.,104156,2.75,Boltovskoy 1999,Herbivore
Spinocalanus spp.,Spinocalanus,spp.,104236,1.993,Razouls 2013,Herbivore
Microsetella rosea,Microsetella,rosea,116116,0.64,Boltovskoy 1999,Omnivore
Serratosagitta serratodentata,Serratosagitta,serratodentata,105464,,,
Undella spp.,Undella,spp.,235764,,,
Rhizostomeae,,,135224,,,
Macrosetella spp.,Macrosetella,spp.,115408,1.315,Boltovskoy 1999,Herbivore
Nannocalanus spp.,Nannocalanus,spp.,104154,1.725,Boltovskoy 1999,Herbivore
Pseudodiaptomus spp.,Pseudodiaptomus,spp.,157680,1.105,,Omnivore
Paracalanus nanus,Paracalanus,nanus,104684,0.6,Boltovskoy 1999,Herbivore
Augaptilus longicaudatus,Augaptilus,longicaudatus,104373,4.8,Boltovskoy 1999,Carnivore
Calocalanus pavoninus,Calocalanus,pavoninus,104670,0.67,Bradford-Grieve 1994,Herbivore
Conaea rapax,Conaea,rapax,128917,1.055,Boltovskoy 1999,Omnivore
Lucicutia ovalis,Lucicutia,ovalis,104609,1.65,Boltovskoy 1999,Omnivore
Lucicutia ovalis,Lucicutia,ovalis,104609,1.35,Boltovskoy 1999,Omnivore
Oithona fallax,Oithona,fallax,106645,0.815,Boltovskoy 1999,Herbivore
Oithona vivida,Oithona,vivida,106659,0.76,Boltovskoy 1999,Herbivore
Oncaea tenuimana,Oncaea,tenuimana,354035,0.925,Razouls 2013,Omnivore
Oncaea tregoubovi complex,Oncaea,tregoubovi complex,354036,0.34,Razouls 2013,Omnivore
Oncaea zernovi complex,Oncaea,zernovi complex,128955,0.3,Razouls 2013,Omnivore
Oncaeidae,,,128586,0.7,,Omnivore
Parvocalanus dubia,Parvocalanus,dubia,360052,0.74,unknown,Herbivore
Scottocalanus persecans,Scottocalanus,persecans,104832,4.83,Razouls 2013,Herbivore
Spinoncaea humesi,Spinoncaea,humesi,362082,0.315,Razouls 2013,Omnivore
Oithona aruensis,Oithona,aruensis,353987,0.43,Razouls 2013,Herbivore
Triconia spp.,Triconia,spp.,128691,0.985,,Omnivore
Canthocalanus spp.,Canthocalanus,spp.,204079,1.45,Boltovskoy 1999,Herbivore
Oithona attenuata,Oithona,attenuata,220944,0.465,Boltovskoy 1999,Herbivore
Eucalanus elongatus,Eucalanus,elongatus,149718,5.85,Razouls 2012,Herbivore
Kowalevskia spp.,Kowalevskia,spp.,103360,,,
Sabellaria spp.,Sabellaria,spp.,129520,,,
Candacia pachydactyla,Candacia,pachydactyla,104483,2.6,Boltovskoy 1999,Carnivore
Calanoid copepods (large),,,104079,3,,Omnivore
Travisiopsis spp.,Travisiopsis,spp.,129721,,,
Rhabdonella spp.,Rhabdonella,spp.,183576,,,
Codonellopsis spp.,Codonellopsis,spp.,204197,,,
Oikopleura (Coecaria) fusiformis,Oikopleura (Coecaria),fusiformis,103408,,,
Calanus finmarchicus,Calanus,finmarchicus,104464,3.71,Razouls 2013,Herbivore
Bothidae larvae,,,125576,,,
Favella spp.,Favella,spp.,172431,,,
Corycaeidae,,,128569,1.84,,Carnivore
Clausocalanus lividus,Clausocalanus,lividus,104505,1.6,,Herbivore
Pontella hanloni,Pontella,hanloni,354863,1.45,,Carnivore
Clytia spp.,Clytia,spp.,117030,,,
Parundella spp.,Parundella,spp.,345911,,,
Ampithoe spp.,Ampithoe,spp.,101459,,,
Colurella spp.,Colurella,spp.,134938,,,
Kowalevskia tenuis,Kowalevskia,tenuis,103392,,,
Siphonostra spp.,Siphonostra,spp.,450799,,,
Siriella spp.,Siriella,spp.,119906,,,
Bemlos australis,Bemlos,australis,488726,,,
Pterocypridina spp.,Pterocypridina,spp.,415901,,,
Anisomysis pelewensis,Anisomysis,pelewensis,161401,,,
Mysidopsis surugae,Mysidopsis,surugae,227008,,,
Aoridae,,,101368,,,
Eusarsiella claviformis,Eusarsiella,claviformis,451362,,,
Stylocheiron suhmi,Stylocheiron,suhmi,110706,,,
Gastrosaccus indicus,Gastrosaccus,indicus,161446,,,
Cyclosalpa spp.,Cyclosalpa,spp.,137227,,,
Cylindroleberis spp.,Cylindroleberis,spp.,146869,,,
Creseis conica,Creseis,conica,390545,,,
Brachionus spp.,Brachionus,spp.,134937,,,
Cyclosalpa bakeri,Cyclosalpa,bakeri,266534,,,
Pseudodiaptomus marinus,Pseudodiaptomus,marinus,360352,1.44,,Omnivore
Eusarsiella spp.,Eusarsiella,spp.,127564,,,
Pareucalanus attenuatus,Pareucalanus,attenuatus,237968,2.75,Razouls 2013,Herbivore
Copilia mediterranea,Copilia,mediterranea,129037,4.65,Boltovskoy 1999,Omnivore
Sapphirina metallina,Sapphirina,metallina,129052,2.095,Boltovskoy 1999,Omnivore
Oithona robertsoni,Oithona,robertsoni,361663,0.57,Razouls 2013,Herbivore
Nauplii oithonidae,,,106485,0.2,,Herbivore
Chydorus spp.,Chydorus,spp.,148377,,,
Leptocotis tenuirostris,Leptocotis,tenuirostris,421623,,,
Vibilia viatrix,Vibilia,viatrix,236634,,,
Eupronoe armata,Eupronoe,armata,550618,,,
Phronima pacifica,Phronima,pacifica,236608,,,
Phronima curvipes,Phronima,curvipes,236607,,,
Phrosina semilunata,Phrosina,semilunata,103273,,,
Pronoe capito,Pronoe,capito,421617,,,
Eirene spp.,Eirene,spp.,117080,,,
Oncaea venusta typica,Oncaea,venusta typica,363803,,,
Euphausia spp.,Euphausia,spp.,110673,,,
Euphausiid calyptope CII,,,110671,,,
Scolecithricella longifurca,Scolecithricella,longifurca,360542,2.1,,Herbivore
Parascelidae,,,236598,,,
Sapphirina cf. nigromaculata,Sapphirina,cf. nigromaculata,129053,2.375,,Omnivore
Ophiopluteus,,,1806,,,
Tintinnopsis radix,Tintinnopsis,radix,235757,,,
Centropages elegans,Centropages,elegans,346255,1.9,,Omnivore
Dictyocysta spp.,Dictyocysta,spp.,196834,,,
Euchaeta marinella,Euchaeta,marinella,346441,2.75,,Carnivore
Climacocylis scalaria,Climacocylis,scalaria,183548,,,
Codonellopsis obesa,Codonellopsis,obesa,417161,,,
Centropages calaninus,Centropages,calaninus,104492,1.8,,Omnivore
Onychocorycaeus spp.,Onychocorycaeus,spp.,128638,,,
Xystonella treforti,Xystonella,treforti,196855,,,
Orbulina ,Orbulina,,112203,,,
Acartia (Odontacartia) amboinensis,Acartia (Odontacartia),amboinensis,346049,,Razouls 2013,Omnivore
Laodicea spp.,Laodicea,spp.,117141,,,
Pontella securifer,Pontella,securifer,104740,,Razouls 2013,Carnivore
Rhincalanus nasutus,Rhincalanus,nasutus,104543,,,
Sulculeolaria biloba,Sulculeolaria,biloba,135445,,,
Pontella cristata,Pontella,cristata,360146,4.55,,
Copilia vitrea,Copilia,vitrea,129040,,,
Dadayiella spp.,Dadayiella,spp.,183541,,,
Holothurian larva,,,123456,,,
Themisto australis,Themisto,australis,325381,,,
Lopadorrhynchidae,,,933,,,
Creseis virgula,Creseis,virgula,139035,,,
Anchovy eggs,,,,,,
Radiolarian I,,,,,,
Radiolarian J,,,,,,
Radiolarian M,,,,,,
Radiolarian Q,,,,,,
Acrocalanus gibber,Acrocalanus,gibber,104645,,,
Subeucalanus pileatus,Subeucalanus,pileatus,104547,2.025,Boltovskoy 1999,Herbivore
Acartia (Acartiura) simplex,Acartia (Acartiura),simplex,346040,1.11,Bradford-Grieve 1976,Omnivore
Euchaeta concinna,Euchaeta,concinna,104551,2.3,Boltovskoy 1999,Carnivore
Calanoides patagoniensis,Calanoides,patagoniensis,345759,2.205,Razouls 2012,Herbivore
Penilia avirostris,Penilia,avirostris,106272,,,
Clausocalanus brevipes,Clausocalanus,brevipes,342443,1.43,Frost & Fleminger 1968,Herbivore
Bryozoan (Cyphonaute larvae),,,146142,,,
Aetideus pseudarmatus,Aetideus,pseudarmatus,345717,1.725,Boltovskoy 1999,Omnivore
Farranula spp.,Farranula,spp.,128636,0.91,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Corycaeidae j,,,128569,0.63,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Acartia (Acartia) negligens,Acartia (Acartia),negligens,346030,0.925,Boltovskoy 1999,Omnivore
Bestiolina similis,Bestiolina,similis,346152,0.8,Bradford-Grieve 1993,Herbivore
Calanoides carinatus,Calanoides,carinatus,104462,2.55,Boltovskoy 1999,Herbivore
Calocalanus pavo,Calocalanus,pavo,104669,0.975,Boltovskoy 1999,Herbivore
Mecynocera spp.,Mecynocera,spp.,104184,0.92,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Microsetella norvegica,Microsetella,norvegica,116115,0.44,Boltovskoy 1999,Omnivore
Nauplii poecilostomatoida / cyclopoid,,,1103,0.2,,Herbivore
Oithona grp 1,Oithona,grp 1,106485,0.675,Size compiled from species in group from Nishida 1985,Herbivore
Oithona spp.,Oithona,spp.,106485,1.13,,Herbivore
Temora turbinata,Temora,turbinata,104880,1.245,Boltovskoy 1999,Herbivore
Echinoderm larvae,,,1806,,,
Egg,,,,,,
Evadne spinifera,Evadne,spinifera,106274,,,
Fritillariidae,,,103354,,,
Gastropod,,,101,,,
Isopod,,,1131,,,
Cavoliniidae body,,,23000,,,
Sipunculid worm larvae,,,1296,,,
Scolecithrix danae,Scolecithrix,danae,104821,2.09,Boltovskoy 1999,Herbivore
Oithona plumifera,Oithona,plumifera,106652,1.31,Nishida 1985,Herbivore
Labidocera spp.,Labidocera,spp.,104208,2.445,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Metridia spp.,Metridia,spp.,104190,3.32,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Microsetella spp.,Microsetella,spp.,115341,0.515,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Mysid,,,2824,,,
Ditrichocorycaeus tenuis,Ditrichocorycaeus,tenuis,128810,0.84,Razouls 2012,Carnivore
Pseudodiaptomus spp.,Pseudodiaptomus,spp.,157680,1.105,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Acartia (Acanthacartia) tonsa,Acartia (Acanthacartia),tonsa,345943,1.2,Boltovskoy 1999,Omnivore
Euchaeta marina,Euchaeta,marina,104552,3.52,Boltovskoy 1999,Carnivore
Candacia bipinnata,Candacia,bipinnata,104475,2.5,Boltovskoy 1999,Carnivore
Candacia bradyi,Candacia,bradyi,346234,1.75,Razouls 2012,Carnivore
Canthocalanus pauper,Canthocalanus,pauper,220834,1.4,Boltovskoy 1999,Herbivore
Pontella novaezealandiae,Pontella,novaezealandiae,354875,5.465,Razouls 2013,Carnivore
Clausocalanus spp.,Clausocalanus,spp.,104161,0.66,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Clytemnestra scutellata,Clytemnestra,scutellata,115805,1.12,Boltovskoy 1999,Omnivore
Aetideus acutus,Aetideus,acutus,104273,1.4,Boltovskoy 1999,Omnivore
Centropages calaninus,Centropages,calaninus,104492,1.8,Boltovskoy 1999,Omnivore
Ditrichocorycaeus erythraeus,Ditrichocorycaeus,erythraeus,764981,0.975,Razouls 2012,Carnivore
Onychocorycaeus agilis,Onychocorycaeus,agilis,359743,0.795,Razouls 2012,Carnivore
Aglaura hemistoma,Aglaura,hemistoma,117851,,,
Calanoides spp.,Calanoides,spp.,104151,2.08,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Oithona longispina,Oithona,longispina,106649,0.995,Nishida 1985,Herbivore
Oikopleura (Vexillaria) dioica,Oikopleura (Vexillaria),dioica,103407,,,
Triconia redacta,Triconia,redacta,361554,1.08,Razouls 2012,Omnivore
Triconia umerus,Triconia,umerus,361551,0.595,Bottger-Schnack 1999,Omnivore
Unid invert larvae,,,1066,,,
Nauplii zooplankton,,,1066,0.3,,
Ditrichocorycaeus asiaticus,Ditrichocorycaeus,asiaticus,358328,1.22,Razouls 2012,Carnivore
Onychocorycaeus catus,Onychocorycaeus,catus,128816,1.025,Razouls 2012,Carnivore
Eucalanus spp.,Eucalanus,spp.,104171,4.1,Razouls 2012,Herbivore
Candacia truncata,Candacia,truncata,220916,1.775,Razouls 2012,Carnivore
Onychocorycaeus ovalis,Onychocorycaeus,ovalis,128819,1.1,Razouls 2012,Carnivore
Harpacticoid m,,,1102,0.53,,
Acartia spp.,Acartia,spp.,104108,1.18,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Candacia discaudata,Candacia,discaudata,346235,1.745,Razouls 2012,Carnivore
Cladoceran j,,,1076,,,
Farranula rostrata,Farranula,rostrata,128814,0.785,Razouls 2012,Carnivore
Sapphirina ovatolanceolata / gemma,Sapphirina,ovatolanceolata / gemma,129055,3.22,Razouls 2012,Omnivore
Oncaea spp.,Oncaea,spp.,128690,0.855,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Oncaea spp.,Oncaea,spp.,128690,0.765,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Acartia (Odontacartia) australis,Acartia (Odontacartia),australis,346050,1.345,Razouls 2012,Omnivore
Ctenocalanus citer,Ctenocalanus,citer,342449,1.105,Boltovskoy 1999,Herbivore
Calanus simillimus,Calanus,simillimus,342436,3.225,Boltovskoy 1999,Herbivore
Metridia longa,Metridia,longa,104632,4.2,Boltovskoy 1999,Omnivore
Euphausia recurva,Euphausia,recurva,221047,,,
Sagittidae,,,5953,,,
Tomopteris carpenteri,Tomopteris,carpenteri,332607,,,
Salpa thompsoni,Salpa,thompsoni,266545,,,
Rhincalanus spp.,Rhincalanus,spp.,104172,3.85,,Herbivore
Clione antarctica,Clione,antarctica,714164,,,
Euphausia similis,Euphausia,similis,221048,,,
Small copepodite CIV,,,1080,0.8,,Herbivore
Serratosagitta bierii,Serratosagitta,bierii,266267,,,
Ditrichocorycaeus minimus,Ditrichocorycaeus,minimus,128808,0.75,Razouls 2012,Carnivore
Clio spp.,Clio,spp.,137751,,,
Oithona brevicornis,Oithona,brevicornis,106643,0.6,Nishida 1985,Herbivore
Onchocalanus spp.,Onchocalanus,spp.,104201,7.54,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Microsetella norvegica,Microsetella,norvegica,116115,0.33,Boltovskoy 1999,Omnivore
Subeucalanus subcrassus,Subeucalanus,subcrassus,104548,1.67,Bradford-Grieve 1994,Herbivore
Calanopia australica,Calanopia,australica,346201,1.93,Razouls 2013,Carnivore
Agetus spp.,Agetus,spp.,128633,1.15,Boltovskoy 1999,Carnivore
Lubbockia spp.,Lubbockia,spp.,128672,2.075,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Paraeuchaeta antarctica,Paraeuchaeta,antarctica,344974,8.61,"Bradford Haakonssen & Jillett 1983",Carnivore
Pontella danae,Pontella,danae,354855,3.85,Razouls 2013,Carnivore
Calanopia aurivilli,Calanopia,aurivilli,346200,1.27,Razouls 2013,Carnivore
Calanus propinquus,Calanus,propinquus,342435,4.85,Boltovskoy 1999,Herbivore
Calanus simillimus,Calanus,simillimus,342436,3.02,Boltovskoy 1999,Herbivore
Acartia (Acartiura) tranteri,Acartia (Acartiura),tranteri,346042,1.04,Based on female size Bradford-Grieve 1976,Omnivore
Onychocorycaeus agilis,Onychocorycaeus,agilis,359743,1.04,Razouls 2012,Carnivore
Labidocera acuta,Labidocera,acuta,104726,3.1,Boltovskoy 1999,Carnivore
Haloptilus oxycephalus,Haloptilus,oxycephalus,104434,2.5,Boltovskoy 1999,Carnivore
Oithona attenuata stocky,Oithona,attenuata stocky,220944,0.69,Nishida 1985,Herbivore
Onchocalanus spp.,Onchocalanus,spp.,104201,7.54,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Clausocalanus spp.,Clausocalanus,spp.,104161,1.28,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Acartia (Odontacartia) erythraea,Acartia (Odontacartia),erythraea,346054,1.3,Razouls 2013,Omnivore
Acrocalanus spp.,Acrocalanus,spp.,104192,0.79,Boltovskoy 1999,Herbivore
Cumacea,,,1137,,,
Oithona attenuata typical,Oithona,attenuata typical,220944,0.4,Boltovskoy 1999,Herbivore
Oithona plumifera,Oithona,plumifera,106652,0.59,Boltovskoy 1999,Herbivore
Kelleria spp.,Kelleria,spp.,205653,0.81,Swe Thwin,Carnivore
Nematoda,,,799,,,
Kelleria australiensis,Kelleria,australiensis,352459,1.23,Swe Thwin,Carnivore
Labidocera dakini,Labidocera,dakini,346589,2.44,Razouls 2013,Carnivore
Oncaea venusta complex,Oncaea,venusta complex,128954,0.55,Razouls 2013,Omnivore
Pseudodiaptomus mertoni,Pseudodiaptomus,mertoni,355172,0.91,Razouls 2013,Omnivore
Terebellidae,,,982,,,
Rhincalanus nasutus,Rhincalanus,nasutus,104543,4,Boltovskoy 1999,Herbivore
Streetsia spp.,Streetsia,spp.,236591,,,
Thysanoessa spp.,Thysanoessa,spp.,110679,,,
Parvocalanus crassirostris,Parvocalanus,crassirostris,360051,0.35,Boltovskoy 1999,Herbivore
Spinoncaea spp.,Spinoncaea,spp.,348050,0.29,Razouls 2013,Omnivore
Macrosetella spp.,Macrosetella,spp.,115408,1.45,Boltovskoy 1999,Herbivore
Euchaeta longicornis,Euchaeta,longicornis,346439,2.89,Razouls 2013,Carnivore
Aetideus australis,Aetideus,australis,341238,1.91,Boltovskoy 1999,Omnivore
Candacia longimana,Candacia,longimana,104481,2.95,Boltovskoy 1999,Carnivore
Candacia pachydactyla,Candacia,pachydactyla,104483,2.525,Boltovskoy 1999,Carnivore
Clausocalanus farrani,Clausocalanus,farrani,220843,1.12,Razouls 2012,Herbivore
Delibus spp.,Delibus,spp.,363904,0.61,Boltovskoy 1999,Herbivore
Euaugaptilus palumboi,Euaugaptilus,palumboi,221309,2.25,Boltovskoy 1999,Carnivore
Lucicutia clausi,Lucicutia,clausi,104595,1.75,Boltovskoy 1999,Omnivore
Mormonilla phasma,Mormonilla,phasma,119818,1.45,Razouls 2013,
Nullosetigera giesbrechti,Nullosetigera,giesbrechti,361516,2.8,Razouls 2013,
Oncaea ornata complex,Oncaea,ornata complex,128944,0.875,Razouls 2013,Omnivore
Paraugaptilus similis,Paraugaptilus,similis,354590,3.535,Razouls 2013,Carnivore
Scottocalanus helenae,Scottocalanus,helenae,104831,4.305,Razouls 2013,Herbivore
Pontella novaezealandiae,Pontella,novaezealandiae,354875,4.95,Razouls 2013,Carnivore
Tortanus (Tortanus) barbatus,Tortanus (Tortanus),barbatus,220937,1.5,Razouls 2012,Carnivore
Acartia (Odontacartia) pacifica,Acartia (Odontacartia),pacifica,346059,1.175,Razouls 2012,Omnivore
Oithona nishidai,Oithona,nishidai,361662,0.56,Razouls 2013,Herbivore
Undeuchaeta plumosa,Undeuchaeta,plumosa,104343,3.375,Boltovskoy 1999,Carnivore
Solidosagitta planctonis,Solidosagitta,planctonis,105466,,,
Ditrichocorycaeus spp.,Ditrichocorycaeus,spp.,128635,1.025,,Carnivore
Oithona nishidai,Oithona,nishidai,361662,0.59,Razouls 2013,Herbivore
Subeucalanus pileatus,Subeucalanus,pileatus,104547,2.15,Boltovskoy 1999,Herbivore
Nyctiphanes spp.,Nyctiphanes,spp.,110677,,,
Dioithona oculata,Dioithona,oculata,346358,0.71,Boltovskoy 1999,Herbivore
Amphinema spp.,Amphinema,spp.,117178,,,
Penaeus latisulcatus,Penaeus,latisulcatus,210372,,,
Epiplocylis spp.,Epiplocylis,spp.,183562,,,
Cyprididae,,,146873,,,
Firoloida spp.,Firoloida,spp.,138008,,,
Fritillaria borealis,Fritillaria,borealis,103375,,,
Lensia multicristata,Lensia,multicristata,135436,,,
Xystonella spp.,Xystonella,spp.,183574,,,
Globigerinidae,,,111929,,,
Lubbockia aculeata,Lubbockia,aculeata,128893,2.1,,Omnivore
Scaphocalanus curtus,Scaphocalanus,curtus,104792,1.44,,Herbivore
Phoxocephalidae,,,101403,,,
Synopia spp.,Synopia,spp.,205038,,,
Aurelia labiata,Aurelia,labiata,287213,,,
Pleurobrachia spp.,Pleurobrachia,spp.,106346,,,
Ritteriella picteti,Ritteriella,picteti,266543,,,
Pseudodiaptomus baylyi,Pseudodiaptomus,baylyi,355135,1.175,,Omnivore
Moolapheonoides spp.,Moolapheonoides,spp.,391194,,,
Tetraleberis brevis,Tetraleberis,brevis,451064,,,
Doxomysis littoralis,Doxomysis,littoralis,226619,,,
Cerianthus spp.,Cerianthus,spp.,100782,,,
Leucothoe spp.,Leucothoe,spp.,101580,,,
Fritillaria bicornis,Fritillaria,bicornis,103389,,,
Cyclosalpa affinis,Cyclosalpa,affinis,137257,,,
Pseudodiaptomus colefaxi,Pseudodiaptomus,colefaxi,355146,1.29,,Omnivore
Metacalanus spp.,Metacalanus,spp.,104132,0.59,,Herbivore
Peltidium spp.,Peltidium,spp.,115430,1,,
Paracalanus parvus,Paracalanus,parvus,104685,1,,Herbivore
Nematoscelis microps,Nematoscelis,microps,110696,,,
Stephos morii,Stephos,morii,360650,0.85,,Omnivore
Naidinae,,,176043,,,
Oithona aruensis,Oithona,aruensis,353987,0.43,,Herbivore
Euphausia mutica,Euphausia,mutica,110688,,,
Eupronoe maculata,Eupronoe,maculata,236627,,,
Acartia (Acartiura) fancetti,Acartia (Acartiura),fancetti,759373,0.9,,Omnivore
Salpa cylindrica,Salpa,cylindrica,268130,,,
Lycaeopsidae,,,236577,,,
Sapphirina darwinii,Sapphirina,darwinii,360445,2.39,Razouls 2013,Omnivore
Eucalanidae f,,,104085,4.181,,Herbivore
Oxycephalus piscator,Oxycephalus,piscator,236589,,,
Phronimella elongata,Phronimella,elongata,236611,,,
Phronima sedentaria,Phronima,sedentaria,103272,,,
Aequorea spp.,Aequorea,spp.,116998,,,
Holothurian auricularia larva,,,1806,,,
Euphausiid furcilia FIV,,,110671,,,
Euphausiid calyptope CI,,,110671,,,
Euphausiid furcilia FIII,,,110671,,,
Pontoeciella spp.,Pontoeciella,spp.,135651,1.175,,Omnivore
Codonellopsis morchella,Codonellopsis,morchella,240441,,,
Holothurian doliolaria larva,,,1806,,,
Euphausiid calyptope CIII,,,110671,,,
Euphausiid furcilia FII,,,110671,,,
Scaphocalanus echinatus,Scaphocalanus,echinatus,104793,1.82,,Herbivore
Cyttarocylis ampulla f. cassis,Cyttarocylis,ampulla f. cassis,736284,,,
Xystonellopsis spp.,Xystonellopsis,spp.,416150,,,
Corycaeus spp.,Corycaeus,spp.,128634,,,
Paralovenia spp.,Paralovenia,spp.,267690,,,
Engraulidae egg,,,125465,,,
Parundinella dakini,Parundinella,dakini,360049,0.8,,
Monacanthidae larvae,,,125610,,,
Nausithoe spp.,Nausithoe,spp.,135250,,,
Hyalocylis  striata,Hyalocylis ,striata,139047,,,
Cunina spp.,Cunina,spp.,117072,,,
Miracia  efferata,Miracia ,efferata,116383,1.6,,
Radiolarian L,,,,,,
Pontellopsis spp.,Pontellopsis,spp.,104211,,,
non-colonial ascidian larvae,,,,,,
Themisto spp.,Themisto,spp.,101800,,,
Aetideus australis,Aetideus,australis,341238,,,
Dairella californica,Dairella,californica,421612,,,
Decapod nauplii,,,1130,,,
Globigerinita uvula,Globigerinita,uvula,113465,,,
Hyperoche  spp.,Hyperoche ,spp.,101798,,,
Nematocarcinus longirostris,Nematocarcinus,longirostris,514315,,,
Bougainvillia  vervoorti,Bougainvillia ,vervoorti,284247,,,
Dioithona oculata,Dioithona,oculata,346358,,,
Euchaeta longicornis,Euchaeta,longicornis,346439,,,
Syngnathid ,,,125606,,,
Foram C,,,,,,
Foram D,,,,,,
Foram G,,,,,,
Radiolarian A,,,,,,
Radiolarian D,,,,,,
Monstrillidae j,,,119777,2.212,,Omnivore
Urocorycaeus furcifer,Urocorycaeus,furcifer,128821,1.26,Boltovskoy 1999,Carnivore
Arachnid terrestrial,,,,,,
Pseudevadne tergestina,Pseudevadne,tergestina,106278,,,
Clytemnestra spp.,Clytemnestra,spp.,115273,1.175,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Lucicutia spp.,Lucicutia,spp.,104183,1.6,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Copilia mirabilis,Copilia,mirabilis,129038,4.65,Boltovskoy 1999,Omnivore
Phaenna spinifera,Phaenna,spinifera,104698,1.5,Razouls 2012,Herbivore
