NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE,BIOMASS_MGM3
NSI20090218,289,North Stradbroke,-27.345,153.562,2009-02-18 10:30:00,16.26063
PHB20090623,47,Port Hacking,-34.11923,151.22667,2009-06-24 09:10:00,3.38425
MAI20090907,35,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00,0.50834
MAI20091207,152,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00,57.09827
NSI20091115,38,North Stradbroke,-27.345,153.562,2009-11-16 08:20:00,31.31891
MAI20100120,105,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00,7.67381
NSI20100520,180,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00,15.907
PHB20110228,113,Port Hacking,-34.11923,151.22667,2011-03-01 09:30:00,1.35087
YON20110414,28,Yongala,-19.30847,147.61842,2011-04-14 11:27:00,25.74711
YON20110811,99,Yongala,-19.30847,147.61842,2011-08-11 11:00:00,4.44346
DAR20111005,65,Darwin,-12.4,130.76805,2011-10-05 09:31:00,1.37523
NSI20111220,94,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00,6.10818
NIN20110501,147,Ningaloo,-21.99,113.779,2011-05-01 08:24:00,15.26274
ROT20110826,115,Rottnest Island,-32,115.41667,2011-08-26 09:43:00,8.27498
DAR20120114_21:30,72,Darwin,-12.4,130.76805,2012-01-15 07:00:00,39.12967
MAI20120412,7,Maria Island,-42.59667,148.23333,2012-04-12 10:45:00,2.34723
NSI20120806,299,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00,7.4134
YON20121026,374,Yongala,-19.30847,147.61842,2012-10-26 11:20:00,19.31373
NSI20130819,416,North Stradbroke,-27.345,153.562,2013-08-19 10:10:00,5.21446
KAI20130220,393,Kangaroo Island,-35.83217,136.44733,2013-02-21 07:20:00,4.10212
PHB20130611,421,Port Hacking,-34.11923,151.22667,2013-06-12 09:55:00,(null)
YON20130912,428,Yongala,-19.30847,147.61842,2013-09-12 11:26:00,50.33812
PHB20130422,432,Port Hacking,-34.11923,151.22667,2013-04-23 09:32:00,1.26246
ROT20130221,439,Rottnest Island,-32,115.41667,2013-02-21 12:55:00,16.02344
ROT20130423,441,Rottnest Island,-32,115.41667,2013-04-23 10:38:00,6.64827
NSI20121114,367,North Stradbroke,-27.345,153.562,2012-11-14 10:45:00,19.54619
DAR20121029,380,Darwin,-12.4,130.76805,2012-10-30 07:51:00,47.87781
YON20130416,405,Yongala,-19.30847,147.61842,2013-04-16 11:35:00,32.22129
PHB20130125,411,Port Hacking,-34.11923,151.22667,2013-01-25 10:54:00,13.60421
PHB20120821,378,Port Hacking,-34.11923,151.22667,2012-08-22 09:19:00,14.08869
NIN20120827,357,Ningaloo,-21.99,113.779,2012-08-27 08:05:00,20.43991
ESP20120910,364,Esperance,-33.93333,121.85,2012-09-10 12:51:00,6.56183
MAI20130424,398,Maria Island,-42.59667,148.23333,2013-04-24 10:50:00,8.31689
KAI20100315,68,Kangaroo Island,-35.83217,136.44733,2010-03-16 06:00:00,(null)
PHB20101019,13,Port Hacking,-34.11923,151.22667,2010-10-20 10:40:00,(null)
MAI20140408,486,Maria Island,-42.59667,148.23333,2014-04-08 11:03:00,4.68447
MAI20140619,493,Maria Island,-42.59667,148.23333,2014-06-19 11:30:00,1.29193
NSI20140901,496,North Stradbroke,-27.345,153.562,2014-09-01 10:10:00,9.233
KAI20140122,497,Kangaroo Island,-35.83217,136.44733,2014-01-22 15:15:00,40.46962
DAR20140906_00:30,506,Darwin,-12.4,130.76805,2014-09-06 10:00:00,43.22345
YON20160927,731,Yongala,-19.30847,147.61842,2016-09-27 10:33:00,11.69705
PHB20140824,517,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00,5.10997
PHB20140911,518,Port Hacking,-34.11923,151.22667,2014-09-11 10:13:00,28.66892
ROT20140319,519,Rottnest Island,-32,115.41667,2014-03-19 12:30:00,11.42623
YON20140717,525,Yongala,-19.30847,147.61842,2014-07-17 10:28:00,2.40061
DAR20140118_00:30,466,Darwin,-12.4,130.76805,2014-01-18 10:00:00,606.52675
YON20131015,469,Yongala,-19.30847,147.61842,2013-10-15 11:40:00,50.56934
NSI20170117,734,North Stradbroke,-27.345,153.562,2017-01-17 10:30:00,12.67287
ROT20150128,557,Rottnest Island,-32,115.41667,2015-01-28 10:15:00,6.32607
ROT20150319,559,Rottnest Island,-32,115.41667,2015-03-19 11:47:00,7.34768
MAI20150312,561,Maria Island,-42.59667,148.23333,2015-03-13 09:33:00,1.3768
PHB20141021,536,Port Hacking,-34.11923,151.22667,2014-10-22 09:30:00,8.0239
ROT20141014,534,Rottnest Island,-32,115.41667,2014-10-14 11:52:00,6.60898
MAI20140915,531,Maria Island,-42.59667,148.23333,2014-09-16 09:20:00,21.9346
NSI20150528,618,North Stradbroke,-27.345,153.562,2015-05-28 10:15:00,9.39374
ROT20150507,634,Rottnest Island,-32,115.41667,2015-05-07 09:36:00,11.04902
PHB20150723,647,Port Hacking,-34.11923,151.22667,2015-07-23 10:07:00,3.64096
DAR20151117,662,Darwin,-12.4,130.76805,2015-11-18 08:16:00,12.2731
YON20141014,619,Yongala,-19.30847,147.61842,2014-10-14 12:02:00,10.62255
KAI20150408,625,Kangaroo Island,-35.83217,136.44733,2015-04-09 07:11:00,1.01138
ROT20160223,684,Rottnest Island,-32,115.41667,2016-02-23 08:57:00,8.02351
YON20151203,686,Yongala,-19.30847,147.61842,2015-12-03 11:00:00,9.004
YON20160503,690,Yongala,-19.30847,147.61842,2016-05-03 10:01:00,14.90694
KAI20160525,695,Kangaroo Island,-35.83217,136.44733,2016-05-26 07:35:00,7.49427
PHB20160201,700,Port Hacking,-34.11923,151.22667,2016-02-02 10:52:00,7.62076
YON20160601,708,Yongala,-19.30847,147.61842,2016-06-01 10:46:00,26.38637
NSI20170217,741,North Stradbroke,-27.345,153.562,2017-02-17 10:30:00,18.26668
DAR20170203_0030,759,Darwin,-12.4,130.76805,2017-02-03 10:00:00,64.59674
DAR20170203_0330,760,Darwin,-12.4,130.76805,2017-02-03 13:00:00,27.05283
MAI20161117,735,Maria Island,-42.59667,148.23333,2016-11-18 09:10:00,5.67696
KAI20161118,739,Kangaroo Island,-35.83217,136.44733,2016-11-18 12:45:00,11.22427
NSI20170627,767,North Stradbroke,-27.345,153.562,2017-06-27 10:20:00,9.23943
DAR20170516,768,Darwin,-12.4,130.76805,2017-05-17 08:47:00,58.26603
MAI20170801,770,Maria Island,-42.59667,148.23333,2017-08-01 10:01:00,13.34842
ROT20170331,786,Rottnest Island,-32,115.41667,2017-03-31 10:24:00,9.1237
YON20161207,744,Yongala,-19.30847,147.61842,2016-12-07 10:15:00,18.51126
MAI20170626,765,Maria Island,-42.59667,148.23333,2017-06-27 09:25:00,0.74969
KAI20170908,792,Kangaroo Island,-35.83217,136.44733,2017-09-08 15:00:00,8.16535
YON20171130,805,Yongala,-19.30847,147.61842,2017-11-30 10:34:00,9.90169
NSI20180417,813,North Stradbroke,-27.345,153.562,2018-04-17 10:15:00,9.41303
NSI20180123,816,North Stradbroke,-27.345,153.562,2018-01-23 10:20:00,13.9138
PHB20180221,827,Port Hacking,-34.11923,151.22667,2018-02-22 09:18:00,17.35978
PHB20170821,807,Port Hacking,-34.11923,151.22667,2017-08-22 09:50:00,13.63604
ROT20181024,864,Rottnest Island,-32,115.41667,2018-10-24 09:18:00,13.39085
YON20181123,880,Yongala,-19.30847,147.61842,2018-11-23 10:05:00,18.65761
MAI20190624,898,Maria Island,-42.59667,148.23333,2019-06-24 10:10:00,24.32986
