SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_L,BIOVOLUME_UM3L
35,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,82353,48509880.24
35,Flagellate <10 µm round,Flagellate,(null),(null),146222,141830,9282743.95
35,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,34,270773.64
35,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,395,77558003.13
35,Guinardia striata,Centric diatom,Guinardia,striata,149113,69,5852782.17
35,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,69,50868.63
35,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,34,3524863.98
35,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,103,3640317.41
35,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,86,810530.22
35,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,34,720994.91
35,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,51,105187.5
35,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,51,306000
35,Prasinophytes,Flagellate,(null),(null),17329,10294,2694960.62
35,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,51,104410.74
35,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,17,2041715.15
35,Prymnesiophytes,Flagellate,(null),(null),115057,17157,8983376.6
35,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,154,30800
35,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,51,15300
35,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,120,13270076.16
35,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,309,126844.84
35,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,686,343000
35,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,149102,669,8406894.84
35,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,343,1077565.37
35,Tripos spp.,Dinoflagellate,Tripos,spp.,494057,51,3060000
35,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,3431,1034764.35
36,Amphora spp.,Pennate diatom,Amphora,spp.,149200,122,8943059.53
36,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,1216,50521793.74
36,Chaetoceros socialis,Centric diatom,Chaetoceros (Hyalochaete),socialis,149123,486,122145.02
36,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,20432,120354312.9
36,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,8027,3026105.15
36,Chrysophyceae,Flagellate,(null),(null),146230,122,95818.5
36,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,214,72490775.53
36,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,16216,12736005.86
36,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,4622,924400
36,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,20432,2334921437.77
